cycle,state,senate_class,start_date,end_date,DEM_poll,REP_poll,DEM_result,REP_result,error,absolute_error
2010,CO,3,8/29/10,8/29/10,45,49,48.08,46.4,5.68,5.68
2010,CO,3,8/20/10,8/22/10,40,44,48.08,46.4,5.68,5.68
2010,CO,3,8/20/10,8/22/10,40,49,48.08,46.4,10.68,10.68
2010,CO,3,8/11/10,8/11/10,41,46,48.08,46.4,6.68,6.68
2010,CO,3,8/7/10,8/8/10,46,43,48.08,46.4,-1.32,1.32
2016,CO,3,8/29/16,8/31/16,48,38,49.97,44.31,-4.34,4.34
2016,CO,3,8/9/16,8/16/16,54,38,49.97,44.31,-10.34,10.34
2016,CO,3,8/4/16,8/10/16,53,38,49.97,44.31,-9.34,9.34
1992,CT,3,8/26/92,8/31/92,59,19,58.81,38.12,-19.31,19.31
1992,CT,3,8/14/92,8/16/92,63,19,58.81,38.12,-23.31,23.31
1992,CT,3,8/8/92,8/13/92,63,19,58.81,38.12,-23.31,23.31
1992,CT,3,8/3/92,8/7/92,63,19,58.81,38.12,-23.31,23.31
1994,CT,1,7/29/94,8/1/94,51,11,67.04,31.01,-3.97,3.97
1998,CT,3,8/23/98,8/28/98,59,26,65.15,32.37,-0.22,0.22
1998,CT,3,8/23/98,8/28/98,54,34,65.15,32.37,12.78,12.78
2004,CT,3,8/12/04,8/17/04,64,20,66.35,32.13,-9.78,9.78
2010,CT,3,8/11/10,8/11/10,47,40,55.16,43.22,4.94,4.94
2010,CT,3,7/28/10,8/2/10,50,40,55.16,43.22,1.94,1.94
2012,CT,1,8/22/12,8/23/12,48,44,54.82,43.07,7.75,7.75
2012,CT,1,8/22/12,8/26/12,46,49,54.82,43.07,14.75,14.75
2012,CT,1,8/21/12,8/21/12,46,49,54.82,43.07,14.75,14.75
1994,DE,1,8/3/94,8/4/94,30,57,42.48,55.81,13.67,13.67
1996,DE,2,8/2/96,8/4/96,57,25,60.04,38.13,-10.09,10.09
2000,DE,1,7/28/00,8/1/00,45,43,55.53,43.7,9.83,9.83
2010,DE,2,8/7/10,8/8/10,44,37,56.61,40.03,9.58,9.58
2010,DE,2,8/5/10,8/5/10,46,36,56.61,40.03,6.58,6.58
1998,FL,3,8/24/98,8/25/98,59,28,62.47,37.53,-6.06,6.06
2004,FL,3,8/24/04,8/24/04,44,44,48.32,49.43,-1.11,1.11
2006,FL,1,8/28/06,8/28/06,57,34,60.3,38.1,-0.8,0.8
2006,FL,1,8/25/06,8/27/06,63,20,60.3,38.1,-20.8,20.8
2006,FL,1,8/15/06,8/21/06,52.4,31.8,60.3,38.1,1.6,1.6
2006,FL,1,8/6/06,8/9/06,60,25,60.3,38.1,-12.8,12.8
2010,FL,3,8/28/10,8/31/10,17,34,20.2,48.89,-11.69,11.69
2010,FL,3,8/25/10,8/25/10,21,40,20.2,48.89,-9.69,9.69
2010,FL,3,8/21/10,8/22/10,17,40,20.2,48.89,-5.69,5.69
2010,FL,3,8/11/10,8/16/10,16,32,20.2,48.89,-12.69,12.69
2010,FL,3,8/9/10,8/9/10,21,38,20.2,48.89,-11.69,11.69
2010,FL,3,8/9/10,8/11/10,18,38,20.2,48.89,-8.69,8.69
2010,FL,3,8/6/10,8/10/10,17,29,20.2,48.89,-16.69,16.69
2012,FL,1,8/20/12,8/20/12,46,37.8,55.23,42.23,4.8,4.8
2012,FL,1,8/18/12,8/18/12,43.08,50.83,55.23,42.23,20.75,20.75
2012,FL,1,8/15/12,8/15/12,47,40,55.23,42.23,6,6
2016,FL,3,8/22/16,8/24/16,43,46,44.31,51.98,-4.67,4.67
2016,FL,3,8/19/16,8/22/16,39,44,44.31,51.98,-2.67,2.67
2016,FL,3,8/18/16,8/24/16,42,43,44.31,51.98,-6.67,6.67
2016,FL,3,8/14/16,8/18/16,38,46,44.31,51.98,0.33,0.33
2016,FL,3,8/12/16,8/15/16,43,48,44.31,51.98,-2.67,2.67
2016,FL,3,8/10/16,8/10/16,43.4,44.7,44.31,51.98,-6.37,6.37
2016,FL,3,8/9/16,8/15/16,45,44,44.31,51.98,-8.67,8.67
2016,FL,3,8/5/16,8/7/16,40,42,44.31,51.98,-5.67,5.67
2016,FL,3,8/4/16,8/10/16,43,49,44.31,51.98,-1.67,1.67
2016,FL,3,8/1/16,8/3/16,31,45,44.31,51.98,6.33,6.33
2016,FL,3,8/1/16,8/3/16,33,46,44.31,51.98,5.33,5.33
2016,FL,3,7/30/16,8/7/16,45,48,44.31,51.98,-4.67,4.67
2016,FL,3,7/30/16,8/7/16,48,34,44.31,51.98,-21.67,21.67
1998,GA,3,8/16/98,8/19/98,37,45,45.15,52.37,0.78,0.78
2004,GA,3,8/26/04,8/30/04,41,46,39.96,57.85,-12.89,12.89
2004,GA,3,8/26/04,8/28/04,38,52,39.96,57.85,-3.89,3.89
2004,GA,3,8/24/04,8/25/04,36,51,39.96,57.85,-2.89,2.89
2004,GA,3,8/13/04,8/16/04,37,51,39.96,57.85,-3.89,3.89
2008,GA,2,8/14/08,8/14/08,44,50,46.83,49.76,3.07,3.07
2008,GA,2,8/6/08,8/10/08,36,42,46.83,49.76,3.07,3.07
2010,GA,3,8/18/10,8/18/10,35,47,39,58.31,-7.31,7.31
2010,GA,3,8/11/10,8/11/10,41,55,39,58.31,-5.31,5.31
2014,GA,2,8/24/14,8/25/14,44.74,43.09,45.21,52.89,-9.33,9.33
2014,GA,2,8/20/14,8/21/14,47,40,45.21,52.89,-14.68,14.68
2014,GA,2,8/14/14,8/17/14,41,50,45.21,52.89,1.32,1.32
2014,GA,2,8/12/14,8/13/14,40,47,45.21,52.89,-0.68,0.68
2014,GA,2,8/8/14,8/10/14,41.5,47.6,45.21,52.89,-1.58,1.58
2016,GA,3,8/6/16,8/7/16,30,39,41.03,54.78,-4.75,4.75
2016,GA,3,8/1/16,8/4/16,42,48,41.03,54.78,-7.75,7.75
1990,HI,1,7/26/90,8/1/90,35,43,54.02,44.61,17.41,17.41
2002,IA,2,8/23/00,8/30/00,55,32,54.18,43.78,-12.6,12.6
2008,IA,2,8/7/08,8/7/08,60,36,62.66,37.26,1.4,1.4
2010,IA,3,8/5/10,8/5/10,35,55,33.3,64.35,-11.05,11.05
2014,IA,2,8/28/14,8/30/14,43,45,43.76,52.1,-6.34,6.34
2014,IA,2,8/23/14,8/26/14,40.2,40,43.76,52.1,-8.54,8.54
2014,IA,2,8/22/14,8/24/14,41.5,41,43.76,52.1,-8.84,8.84
2014,IA,2,8/11/14,8/12/14,43,43,43.76,52.1,-8.34,8.34
2016,IA,3,8/30/16,8/31/16,43,49,35.66,60.09,-18.43,18.43
2016,IA,3,8/17/16,8/19/16,38,45,35.66,60.09,-17.43,17.43
2016,IA,3,8/9/16,8/16/16,42,51,35.66,60.09,-15.43,15.43
2016,IA,3,8/8/16,8/10/16,42,52,35.66,60.09,-14.43,14.43
2016,IA,3,8/3/16,8/7/16,42,52,35.66,60.09,-14.43,14.43
1996,ID,2,8/11/96,8/13/96,33,45,39.91,57.02,-5.11,5.11
2008,ID,2,8/18/08,8/22/08,30,41,34.11,57.65,-12.54,12.54
2010,ID,3,8/31/10,8/31/10,24,63,24.93,71.18,-7.25,7.25
2016,ID,3,8/18/16,8/31/16,20,57,27.73,66.13,-1.4,1.4
1990,IL,2,8/22/90,8/27/90,52,33,65.07,34.93,11.14,11.14
1992,IL,3,8/22/92,8/24/92,56,23,53.27,43.06,-22.79,22.79
1998,IL,3,8/11/98,8/17/98,39,46,47.44,50.35,4.09,4.09
2002,IL,2,8/22/02,8/26/02,46,23,60.33,38.02,-0.69,0.69
2004,IL,3,8/13/04,8/16/04,65,24,69.97,27.05,1.92,1.92
2004,IL,3,8/6/04,8/7/04,67,28,69.97,27.05,3.92,3.92
2008,IL,2,8/12/08,8/12/08,61,33,67.84,28.53,11.31,11.31
2010,IL,3,8/23/10,8/23/10,45,45,46.42,48.01,-1.59,1.59
2010,IL,3,8/14/10,8/15/10,37,35,46.42,48.01,-3.59,3.59
2010,IL,3,8/9/10,8/9/10,40,40,46.42,48.01,-1.59,1.59
2010,IL,3,8/4/10,8/4/10,32.68,39.19,46.42,48.01,4.92,4.92
2014,IL,2,8/27/14,8/27/14,47.78,40.5,53.55,42.69,3.58,3.58
2014,IL,2,8/25/14,8/27/14,44,38,53.55,42.69,4.86,4.86
2014,IL,2,8/4/14,8/5/14,48,38,53.55,42.69,0.86,0.86
2016,IL,3,8/1/16,8/4/16,44,37,54.86,39.78,8.08,8.08
1990,IN,3,8/17/90,8/18/90,26,60,46.36,53.64,26.72,26.72
1990,IN,3,8/12/90,8/15/90,20,37,46.36,53.64,9.72,9.72
2000,IN,1,8/14/00,8/16/00,13,63,31.85,66.56,15.29,15.29
2004,IN,3,8/15/04,8/18/04,67,22,61.65,37.23,-20.58,20.58
2010,IN,3,8/16/10,8/18/10,38,49,40,54.58,-3.58,3.58
2010,IN,3,8/4/10,8/7/10,29,50,40,54.58,6.42,6.42
2012,IN,1,8/9/12,8/12/12,45,43,50.03,44.3,3.73,3.73
2012,IN,1,8/6/12,8/9/12,39,41,50.03,44.3,7.73,7.73
2012,IN,1,8/2/12,8/5/12,41,40,50.03,44.3,4.73,4.73
2012,IN,1,7/31/12,8/1/12,40,42,50.03,44.3,7.73,7.73
2016,IN,3,8/15/16,8/18/16,55,39,42.41,52.11,-25.7,25.7
2016,IN,3,8/13/16,8/16/16,48,41,42.41,52.11,-16.7,16.7
2016,IN,3,8/10/16,8/14/16,54,36,42.41,52.11,-27.7,27.7
2016,IN,3,8/1/16,8/3/16,58,32,42.41,52.11,-35.7,35.7
1996,KS,3,8/20/96,8/22/96,43,51,43.33,53.91,-2.58,2.58
2008,KS,2,8/18/08,8/20/08,31,58,36.46,60.06,3.4,3.4
2008,KS,2,8/11/08,8/11/08,37,56,36.46,60.06,-4.6,4.6
2010,KS,3,8/12/10,8/15/10,23,69,26.38,70.09,2.29,2.29
2010,KS,3,8/4/10,8/4/10,28,61,26.38,70.09,-10.71,10.71
2016,KS,3,8/3/16,8/7/16,32,52,32.24,62.18,-9.94,9.94
1996,KY,2,8/4/96,8/6/96,34,51,42.85,55.45,4.4,4.4
1998,KY,3,8/31/98,8/1/98,41,41,49.16,49.75,-0.59,0.59
1998,KY,3,8/25/98,8/27/98,45,37,49.16,49.75,-8.59,8.59
1998,KY,3,8/9/98,8/10/98,44,44,49.16,49.75,-0.59,0.59
2008,KY,2,8/9/08,8/11/08,40,52,47.03,52.97,6.06,6.06
2010,KY,3,8/17/10,8/17/10,41,51,44.22,55.69,-1.47,1.47
2010,KY,3,8/16/10,8/18/10,42,41,44.22,55.69,-12.47,12.47
2010,KY,3,8/13/10,8/15/10,40,40,44.22,55.69,-11.47,11.47
2010,KY,3,8/13/10,8/15/10,40,45,44.22,55.69,-6.47,6.47
2010,KY,3,8/2/10,8/4/10,31,41,44.22,55.69,-1.47,1.47
2014,KY,2,8/25/14,8/27/14,42,46,40.72,56.19,-11.47,11.47
2014,KY,2,8/7/14,8/10/14,41,45.5,40.72,56.19,-10.97,10.97
2016,KY,3,8/2/16,8/4/16,40.7,59.3,42.72,57.27,4.05,4.05
2016,KY,3,7/31/16,8/1/16,38,50,42.72,57.27,-2.55,2.55
1990,LA,2,7/31/90,8/5/90,52,15.5,27.75,22.255,-31.005,31.005
2004,LA,3,8/10/04,8/12/04,18,35,11.87,51.03,-22.16,22.16
2004,LA,3,8/9/04,8/15/04,21,42,11.87,51.03,-18.16,18.16
2008,LA,2,8/14/08,8/14/08,56,39,52.11,45.72,-10.61,10.61
2010,LA,3,8/30/10,8/30/10,33,54,37.67,56.55,2.12,2.12
2010,LA,3,8/21/10,8/22/10,41,51,37.67,56.55,-8.88,8.88
2010,LA,3,8/15/10,8/16/10,36,48,37.67,56.55,-6.88,6.88
1990,MA,2,8/26/90,8/30/90,53,34,57.06,42.87,-4.81,4.81
1990,MA,2,8/8/90,8/9/90,51,36,57.06,42.87,-0.81,0.81
1994,MA,1,8/14/94,8/16/94,53,38,58.07,41.01,2.06,2.06
1996,MA,2,8/5/96,8/9/96,38,46,52.21,44.71,15.5,15.5
2000,MA,1,8/14/00,8/16/00,68,16,72.69,12.86,7.83,7.83
2008,MA,2,8/5/08,8/5/08,59,32,65.86,30.93,7.93,7.93
2008,MA,2,7/31/08,8/3/08,51,29,65.86,30.93,12.93,12.93
2012,MA,1,8/21/12,8/21/12,43,49,53.74,46.19,13.55,13.55
2012,MA,1,8/16/12,8/19/12,44,49,53.74,46.19,12.55,12.55
1992,MD,3,8/28/92,8/30/92,60,29,71.01,28.98,11.03,11.03
1994,MD,1,8/26/94,8/28/94,58,23,59.1,40.9,-16.8,16.8
2000,MD,1,8/14/00,8/16/00,61,27,63.18,36.73,-7.55,7.55
2006,MD,1,8/18/06,8/25/06,44,39,54.21,44.2,5.01,5.01
2006,MD,1,8/15/06,8/21/06,50.3,41.4,54.21,44.2,1.11,1.11
2006,MD,1,8/9/06,8/9/06,47,42,54.21,44.2,5.01,5.01
2006,MD,1,8/1/06,8/2/06,43,35,54.21,44.2,2.01,2.01
2010,MD,3,8/17/10,8/17/10,55,39,62.19,35.75,10.44,10.44
2016,MD,3,8/18/16,8/30/16,55,26,60.89,35.67,-3.78,3.78
1996,ME,2,8/4/96,8/6/96,40,48,43.88,49.18,2.7,2.7
2002,ME,2,8/19/02,8/21/02,38,47,41.56,58.44,-7.88,7.88
2002,ME,2,7/15/02,8/1/02,20,49,41.56,58.44,12.12,12.12
2006,ME,1,8/17/06,8/17/06,20,68,20.59,74.01,-5.42,5.42
2006,ME,1,8/16/06,8/25/06,26,53,20.59,74.01,-26.42,26.42
2008,ME,2,8/12/08,8/12/08,40,55,38.58,61.33,-7.75,7.75
2014,ME,2,8/16/14,8/18/14,33,57,31.5,68.46,-12.96,12.96
1990,MI,2,8/2/90,8/2/90,58,29,57.48,41.23,-12.75,12.75
1990,MI,2,7/27/90,8/1/90,61,24,57.48,41.23,-20.75,20.75
1994,MI,1,8/14/94,8/19/94,41,39,42.75,51.88,-11.13,11.13
1996,MI,2,8/20/96,8/22/96,57,31,58.36,39.87,-7.51,7.51
2000,MI,1,8/20/00,8/22/00,43,48,49.47,47.86,6.61,6.61
2000,MI,1,8/14/00,8/16/00,34,43,49.47,47.86,10.61,10.61
2000,MI,1,8/4/00,8/7/00,39,43,49.47,47.86,5.61,5.61
2002,MI,2,8/14/02,8/16/02,62,33,60.61,37.89,-6.28,6.28
2006,MI,1,8/31/06,8/31/06,51,43,56.91,41.26,7.65,7.65
2006,MI,1,8/28/06,8/30/06,50,37,56.91,41.26,2.65,2.65
2006,MI,1,8/25/06,8/27/06,49,42,56.91,41.26,8.65,8.65
2006,MI,1,8/21/06,8/22/06,51,38,56.91,41.26,2.65,2.65
2006,MI,1,8/19/06,8/21/06,51,42,56.91,41.26,6.65,6.65
2006,MI,1,8/15/06,8/21/06,49.4,45,56.91,41.26,11.25,11.25
2006,MI,1,8/10/06,8/10/06,49,44,56.91,41.26,10.65,10.65
2006,MI,1,8/9/06,8/14/06,54,42,56.91,41.26,3.65,3.65
2006,MI,1,8/8/06,8/8/06,48,41,56.91,41.26,8.65,8.65
2008,MI,2,8/18/08,8/21/08,59,27,62.66,33.85,-3.19,3.19
2008,MI,2,8/7/08,8/7/08,57,39,62.66,33.85,10.81,10.81
2012,MI,1,8/28/12,8/28/12,51,44,58.8,37.98,13.82,13.82
2012,MI,1,8/23/12,8/23/12,44,45,58.8,37.98,21.82,21.82
2012,MI,1,8/18/12,8/20/12,48,40,58.8,37.98,12.82,12.82
2012,MI,1,8/16/12,8/16/12,46,48,58.8,37.98,22.82,22.82
2012,MI,1,8/16/12,8/16/12,45.93,48.28,58.8,37.98,23.17,23.17
2014,MI,2,8/27/14,8/27/14,46,44,54.61,41.33,11.28,11.28
2014,MI,2,8/22/14,8/25/14,45,39,54.61,41.33,7.28,7.28
2014,MI,2,8/6/14,8/11/14,42,38,54.61,41.33,9.28,9.28
2014,MI,2,8/5/14,8/5/14,45,44,54.61,41.33,12.28,12.28
1990,MN,2,8/27/90,8/31/90,32,56,50.44,47.81,26.63,26.63
1990,MN,2,8/12/90,8/20/90,33,52,50.44,47.81,21.63,21.63
1996,MN,2,8/25/96,8/27/96,40,44,50.32,41.29,13.03,13.03
2000,MN,1,8/14/00,8/16/00,44,41,48.83,43.29,2.54,2.54
2006,MN,1,8/23/06,8/27/06,50,40,58.06,37.94,10.12,10.12
2006,MN,1,8/15/06,8/17/06,49,39,58.06,37.94,10.12,10.12
2006,MN,1,8/15/06,8/21/06,49.9,42.3,58.06,37.94,12.52,12.52
2006,MN,1,8/1/06,8/1/06,50,38,58.06,37.94,8.12,8.12
2008,MN,2,8/13/08,8/14/08,39,46,41.99,41.98,7.01,7.01
2008,MN,2,8/13/08,8/13/08,46,49,41.99,41.98,3.01,3.01
2008,MN,2,8/7/08,8/17/08,41,40,41.99,41.98,-0.99,0.99
2014,MN,2,8/19/14,8/21/14,51,42,53.15,42.91,1.24,1.24
2014,MN,2,8/13/14,8/14/14,50,42,53.15,42.91,2.24,2.24
1992,MO,3,8/14/92,8/16/92,37,45,44.93,51.89,1.04,1.04
2002,MO,1,8/20/02,8/22/02,46,47,48.67,49.8,-0.13,0.13
2006,MO,1,8/28/06,8/31/06,47,46,49.58,47.31,1.27,1.27
2006,MO,1,8/23/06,8/27/06,44,50,49.58,47.31,8.27,8.27
2006,MO,1,8/15/06,8/21/06,45.2,49.7,49.58,47.31,6.77,6.77
2006,MO,1,8/15/06,8/15/06,44,46,49.58,47.31,4.27,4.27
2006,MO,1,8/12/06,8/14/06,47,46,49.58,47.31,1.27,1.27
2010,MO,3,8/23/10,8/23/10,41,54,40.63,54.23,-0.6,0.6
2010,MO,3,8/14/10,8/15/10,38,45,40.63,54.23,-6.6,6.6
2010,MO,3,8/10/10,8/10/10,43,50,40.63,54.23,-6.6,6.6
2010,MO,3,8/7/10,8/22/10,48.4,48.8,40.63,54.23,-13.2,13.2
2010,MO,3,8/4/10,8/4/10,43.22,46.63,40.63,54.23,-10.19,10.19
2012,MO,1,8/28/12,8/29/12,45,44,54.81,39.11,14.7,14.7
2012,MO,1,8/27/12,8/28/12,42,45,54.81,39.11,18.7,18.7
2012,MO,1,8/23/12,8/23/12,38.8,37.3,54.81,39.11,14.2,14.2
2012,MO,1,8/22/12,8/22/12,48,38,54.81,39.11,5.7,5.7
2012,MO,1,8/20/12,8/20/12,43,44,54.81,39.11,16.7,16.7
2012,MO,1,8/9/12,8/12/12,40,51,54.81,39.11,26.7,26.7
2016,MO,3,8/26/16,8/27/16,43,47,46.39,49.18,1.21,1.21
2016,MO,3,8/19/16,8/22/16,43,48,46.39,49.18,2.21,2.21
2016,MO,3,8/5/16,8/6/16,40,47,46.39,49.18,4.21,4.21
1994,MT,1,8/28/94,8/30/94,40,53,37.63,62.37,-11.74,11.74
2000,MT,1,8/5/00,8/7/00,38,47,47.24,50.55,5.69,5.69
2006,MT,1,8/23/06,8/27/06,48,45,49.16,48.29,-2.13,2.13
2006,MT,1,8/8/06,8/8/06,47,47,49.16,48.29,0.87,0.87
2012,MT,1,8/20/12,8/20/12,43,47,48.58,44.86,7.72,7.72
2014,MT,2,8/18/14,8/19/14,35,55,40.07,57.79,2.28,2.28
1990,NC,2,8/7/90,8/8/90,46,44,47.41,52.56,-7.15,7.15
1992,NC,3,8/21/92,8/23/92,50,36,46.32,50.35,-18.03,18.03
2004,NC,3,8/14/04,8/16/04,49,40,47.02,51.6,-13.58,13.58
2004,NC,3,8/13/04,8/15/04,50,42,47.02,51.6,-12.58,12.58
2004,NC,3,8/8/04,8/11/04,47,38,47.02,51.6,-13.58,13.58
2008,NC,2,8/20/08,8/23/08,42,39,52.65,44.18,5.47,5.47
2008,NC,2,8/20/08,8/26/08,50,45,52.65,44.18,3.47,3.47
2008,NC,2,8/19/08,8/19/08,40,40,52.65,44.18,8.47,8.47
2008,NC,2,8/14/08,8/17/08,41,44,52.65,44.18,11.47,11.47
2008,NC,2,8/9/08,8/11/08,41,46,52.65,44.18,13.47,13.47
2010,NC,3,8/27/10,8/29/10,38,43,43.05,54.81,-6.76,6.76
2010,NC,3,8/3/10,8/3/10,40,49,43.05,54.81,-2.76,2.76
2014,NC,2,8/16/14,8/19/14,45.4,43,47.26,48.82,-3.96,3.96
2014,NC,2,8/14/14,8/17/14,42.5,40,47.26,48.82,-4.06,4.06
2014,NC,2,8/5/14,8/6/14,40,45,47.26,48.82,3.44,3.44
2016,NC,3,8/27/16,8/29/16,41.3,45.2,45.37,51.06,-1.79,1.79
2016,NC,3,8/26/16,8/27/16,43,46,45.37,51.06,-2.69,2.69
2016,NC,3,8/20/16,8/23/16,43,45,45.37,51.06,-3.69,3.69
2016,NC,3,8/18/16,8/23/16,45,50,45.37,51.06,-0.69,0.69
2016,NC,3,8/5/16,8/7/16,37,41,45.37,51.06,-1.69,1.69
2016,NC,3,8/4/16,8/10/16,46,44,45.37,51.06,-7.69,7.69
2000,ND,1,7/31/00,8/2/00,51,37,61.37,38.63,8.74,8.74
2010,ND,3,8/10/10,8/11/10,25,69,22.17,76.08,-9.91,9.91
1990,NE,2,8/28/90,8/30/90,53,35,58.9,40.92,-0.02,0.02
1990,NE,2,8/28/90,8/30/90,51,35,58.9,40.92,1.98,1.98
1994,NE,1,8/22/94,8/24/94,53,34,54.78,45,-9.22,9.22
1994,NE,1,8/8/94,8/10/94,48,40,54.78,45,1.78,1.78
1996,NE,2,8/4/96,8/6/96,55,34,41.65,56.14,-35.49,35.49
2000,NE,1,8/27/00,8/30/00,54,39,51,48.82,-12.82,12.82
2006,NE,1,8/10/06,8/10/06,55,32,63.88,36.12,4.76,4.76
2012,NE,1,8/14/12,8/14/12,34,55,42.23,57.77,5.46,5.46
2002,NH,2,8/14/02,8/16/02,43,44,46.4,50.82,-3.42,3.42
2008,NH,2,8/19/08,8/19/08,52,43,51.59,45.25,-2.66,2.66
2008,NH,2,8/18/08,8/20/08,52,41,51.59,45.25,-4.66,4.66
2010,NH,3,8/5/10,8/5/10,38,51,36.81,60.03,-10.22,10.22
2014,NH,2,8/27/14,8/28/14,50,44,51.46,48.21,-2.75,2.75
2014,NH,2,8/7/14,8/17/14,46,44,51.46,48.21,1.25,1.25
2016,NH,3,8/30/16,8/31/16,47,44,47.98,47.84,-2.86,2.86
2016,NH,3,8/26/16,8/28/16,47,45,47.98,47.84,-1.86,1.86
2016,NH,3,8/20/16,8/28/16,51,27,47.98,47.84,-23.86,23.86
2016,NH,3,8/20/16,8/28/16,44,42,47.98,47.84,-1.86,1.86
2016,NH,3,8/10/16,8/12/16,42,41,47.98,47.84,-0.86,0.86
2016,NH,3,8/7/16,8/8/16,46,43,47.98,47.84,-2.86,2.86
2016,NH,3,8/5/16,8/7/16,47,42,47.98,47.84,-4.86,4.86
2016,NH,3,7/29/16,8/1/16,48,37,47.98,47.84,-10.86,10.86
1994,NJ,1,8/24/94,8/29/94,39,27,50.29,47.02,-8.73,8.73
1996,NJ,2,7/24/96,8/5/96,39,36,52.68,42.57,7.11,7.11
