cycle,state,senate_class,start_date,end_date,DEM_poll,REP_poll,DEM_result,REP_result,error,absolute_error
2010,CO,3,8/29/10,8/29/10,45,49,48.08,46.4,5.68,5.68
2010,CO,3,8/20/10,8/22/10,40,44,48.08,46.4,5.68,5.68
2010,CO,3,8/20/10,8/22/10,40,49,48.08,46.4,10.68,10.68
2010,CO,3,8/11/10,8/11/10,41,46,48.08,46.4,6.68,6.68
2010,CO,3,8/7/10,8/8/10,46,43,48.08,46.4,-1.32,1.32
2016,CO,3,8/29/16,8/31/16,48,38,49.97,44.31,-4.34,4.34
2016,CO,3,8/9/16,8/16/16,54,38,49.97,44.31,-10.34,10.34
2016,CO,3,8/4/16,8/10/16,53,38,49.97,44.31,-9.34,9.34
1992,CT,3,8/26/92,8/31/92,59,19,58.81,38.12,-19.31,19.31
1992,CT,3,8/14/92,8/16/92,63,19,58.81,38.12,-23.31,23.31
1992,CT,3,8/8/92,8/13/92,63,19,58.81,38.12,-23.31,23.31
1992,CT,3,8/3/92,8/7/92,63,19,58.81,38.12,-23.31,23.31
1994,CT,1,7/29/94,8/1/94,51,11,67.04,31.01,-3.97,3.97
1998,CT,3,8/23/98,8/28/98,59,26,65.15,32.37,-0.22,0.22
1998,CT,3,8/23/98,8/28/98,54,34,65.15,32.37,12.78,12.78
2004,CT,3,8/12/04,8/17/04,64,20,66.35,32.13,-9.78,9.78
2010,CT,3,8/11/10,8/11/10,47,40,55.16,43.22,4.94,4.94
2010,CT,3,7/28/10,8/2/10,50,40,55.16,43.22,1.94,1.94
2012,CT,1,8/22/12,8/23/12,48,44,54.82,43.07,7.75,7.75
2012,CT,1,8/22/12,8/26/12,46,49,54.82,43.07,14.75,14.75
2012,CT,1,8/21/12,8/21/12,46,49,54.82,43.07,14.75,14.75
